content,score,at
bagus tapi gk tau cara login pliss,5,2025-10-07 14:29:33
bagus,5,2025-10-07 08:58:34
good jobs,5,2025-10-07 01:19:46
⭐⭐🎀🎀🖐️🖐️🎈😂😂🙏🙏🙏🌈🎂🎂🎂🌷🌷🌷🕺🕺,5,2025-10-06 21:34:31
apk ap in tailasu,1,2025-10-06 01:24:39
aplikasi ini telalu rumit,1,2025-10-06 00:21:55
sejauh pengalaman ku ini bagus apalagi biaya berlangganan nya juga worth it harga 65 an dengan Grafik 1080 full HD walau memang Masih ada kekurangan tapi Overall menurut ku bagus Dan mayoritas Film-Film nya ada bahasa Indonesia,5,2025-10-05 19:06:56
indonesia,5,2025-10-05 15:55:29
halo saya minta tolong hadirkan judul H2O: Just Add Water dan Mako mermaids dan early edition😭😭😭😭😭🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻 karena saya belum nonton ini sampai tamat.... please... please.... please😭😭😭🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,4,2025-10-05 09:03:54
ok,1,2025-10-05 04:53:36
Tolong lengkapi dengan pilihan warna subtitle dong,5,2025-10-04 20:37:30
sangat bagus walaupun kemarin ada masalah klau nonton layar hitam tpi sekarang udah kembali normal di selesaikan sama admin nya klau ada masalah di hubungi admin nya kirim ke email lapor masalah nya di email pasti bakal di bantu sama admin nya,5,2025-10-04 20:36:30
boi,1,2025-10-04 11:15:13
buruk sumpah saya udah langganan malah gak muncul gambar nya signal stabil gambar tidak muncul bikin rugi pelanggan aja,1,2025-10-04 01:18:25
"aneh, gambarnya hitam semua, cuma keluar suara aja",1,2025-10-03 23:14:13
makin ga jelas aplikasinnya ke t*i,1,2025-10-03 20:30:42
vidio kadang ndak muncul bikin rugi aja,1,2025-10-03 19:51:05
okelah,1,2025-10-03 16:20:27
"tolong dong ini saya udah download film nya tapi masih buffering tuh gimana ceritanya ya, tolong segera di fix.",3,2025-10-03 09:13:20
"Disney parah banget ampun dah, video nya ngelag terus, habis itu muncul layar hitam atau gak layarnya kedip"" terus...udah 3 hari gak ada pembenahan sama sekali",1,2025-10-03 09:05:52
film blank. terputus,1,2025-10-03 08:21:10
film berbayar,1,2025-10-03 06:36:36
maaf ya,1,2025-10-02 18:54:49
Nyesel beli bayar mahal tapi layanannya engga sesuai,1,2025-10-02 16:30:32
streaming nya black screen,1,2025-10-01 19:11:43
saya mau tanya baru nonton 2 hari masa layar nya gelap ga bisa nonton hanya keluar audio,1,2025-09-29 23:23:01
TDK sesuai,1,2025-09-29 07:49:40
JANGAN ADA YG DOWNLOAD,1,2025-09-29 02:43:55
"Pembelian pakai gopay atau bank visa yang aku ga punya, padahal ada fitur qris atau google play yang bisa jangkau banyak orang. Gimana bisa berkembang jika nyusahin orang dan diri sendiri. Murah sih 65k aku bisa beli tapi karena terbatasnya pembayaran, ga jadi beli. UNINSTALL DEH APLIKASI INI, OH IYA ADA BAJAKAN KN DI SHOPEE YG BISA BAYAR PAKE APAPUN",1,2025-09-29 00:08:58
mahal banget sih,1,2025-09-28 08:25:35
jijiknya gak jelas buat aplikasi kaya gini,1,2025-09-27 23:31:38
terlalu ribet,1,2025-09-27 23:17:53
2³4⁵89% we ruo}adhk*xc :!?² 😒🧐😏😛🤐😐🤤☺️🥲😃😭😂😁🚘🌊💧🐬📀🖨️🚿🚽💧🌽²3355⅚67⁸⁹0,1,2025-09-27 18:02:42
Jelek,1,2025-09-27 16:50:45
KECEWA,1,2025-09-27 13:42:52
"TIDAK BISA LOGIN, APLIKASI BODOH",1,2025-09-27 11:51:36
tolonglah untuk bug nya diperbaiki karena saya lagi nonton ini nggak bisa-bisa karena loading terus plus layarnya hitam ini nggak memulai tolong diperbaiki ya,3,2025-09-26 19:35:34
mau berlangganan ribet amat. pembayaran nya harus pake gopay sama kartu kridit.,1,2025-09-26 17:19:51
sangat bagus,5,2025-09-26 16:32:38
Acara bagus tapi perlu varias,4,2025-09-26 11:40:14
Pantes aja Rating Jelek Gak Rekomen Banget dah,1,2025-09-26 10:52:57
ok,5,2025-09-26 03:26:55
sudah saya batalin langganan masih aja ngambil gopay gua otomatis. sial.,1,2025-09-26 00:30:10
"good, upgrade the services and video quality and lotsa movies",5,2025-09-25 22:21:23
"tiba tiba layar ngeblank, hanya layar hitam ga ada visualnya hanya ada subtitle dan suara aja",5,2025-09-25 16:55:21
kasih bintang 2 karena pas nonton kok tiba2 layarnya hitam semua yak padahal internet nya lancar,2,2025-09-25 15:52:10
biasakan dibaca dan perbaiki kesalahan ..ini yg jawab otomatis mesin tapi ga diperbaiki,2,2025-09-25 14:30:39
nyesel bngt bayar premium bug gambar hilang,1,2025-09-25 11:20:05
gak jelas nih kok layar item sih? gak muncul videonya cuman audio aja,1,2025-09-25 00:40:14
Good Jobs...👍👌,5,2025-09-24 23:53:05
sudah langganan tapi tidak bisa nonton,1,2025-09-24 17:12:33
kenapa sekrng mahal bgt,1,2025-09-24 13:10:40
saya setiap mau nonton selalu full hitam gambar nya (tidak ada gambarnya) tolong perbaiki,1,2025-09-24 09:49:30
"di android tv nonton film seri gak bisa otomatis lanjut ke episode selanjutnya ,, harus manual pake remote ,,, bikin repot , mending pindah app lain kalo gitu , gak praktis",2,2025-09-24 07:39:31
ngapain dah ngabisin saldo buat nonton yang bayar kalo ada yang gratis dan sama sama lengkap konyol hanya sdm rendah dan bodo nonton bayar,1,2025-09-24 05:01:49
mantap,4,2025-09-24 00:33:11
mantap,4,2025-09-23 23:58:07
"zionis Kapitalis tolol maruk, mahal' bayar langganan kualitas ampas, bug terus...",1,2025-09-23 23:07:47
langganan kembali karena serial high potensial season 2 sudah ada... eh taunya loading lama trus muncul layar hitam saja dengan suara... tau begitu tidak langganan dulu lah... parah,1,2025-09-23 18:36:37
bgus,5,2025-09-23 15:39:44
apa ini error mulu gabisa log in,1,2025-09-23 14:13:47
"ba,, bi",1,2025-09-23 13:20:46
ok,5,2025-09-23 11:52:24
"Layar hitam, hanya keluar suara saja",2,2025-09-22 22:39:25
ribet bgt mau masuk apk nya aja harus bayar dulu,1,2025-09-22 19:22:12
ini kenapa layar hitam terus loading juga,1,2025-09-22 18:17:51
"Kualitas suara tidak stabil, padahal kualitas gambar stabil. entahlah kadang suara nya terasa seperti menonton dengan kualitas rendah padahal sudah full hd",1,2025-09-21 18:52:57
kenapa gua kasih bintang 1 karena mau login aja susah daritadi gua tutorial tapi sama aja kagak bisa🤬,1,2025-09-21 16:57:47
nyesel download GK bisa dibuka harus berbayar/langganan block,1,2025-09-21 14:41:30
cara daftarnya menyusahkan dan membingungkan mohon di mudahkan cara daftarnya,1,2025-09-21 12:57:30
Drama HD bagus langganan Murah,4,2025-09-21 02:50:11
jelek jangan di download bayar lagi dan bikin akunnya susah banget ciuh ciuh 🤮😠🤬,1,2025-09-20 19:26:22
aku baru mau langganan tp metode pembayaran menurut ribet sih harus kartu kredit/ debit. ada pun e wallet cuma gopay. saran aku di perbanyak metode bayar e wallet ny.,2,2025-09-20 13:14:36
Metode pembayarannya sedikit,3,2025-09-19 19:30:40
kok ga ada tombol buat edit profil sama hapus profil?!,1,2025-09-19 18:57:36
"aku beli premium demi nonton high potential sekeluarga karna itu film kesukaan kita, pas udah di beli gada high potential nya? gimana sih",2,2025-09-19 17:46:38
buat apk yang niat dongk!,1,2025-09-19 08:41:09
aplikasi kok gini ya mempersulit,1,2025-09-19 01:33:08
Udah bayar. Selamat menonton. Klik. Gak bisa nonton apapun Balik lagi ke Web. Surah Bayar lagi. Parah!!!,1,2025-09-18 21:10:46
kecewa baru pertama kali pakai aplikasi ini dan baru berlangganan malah buffering terus.. padahal wifi lancar data juga lancar,1,2025-09-18 15:44:38
knp saya engga bisa berlangganan lagi😭😭😭,1,2025-09-18 14:19:22
"aplikasi nonton TERTAIIIKKK DAN TERBANGSAAATTTT YANG PERNAH GW PAKE!! MAU LOGIN AJA RIBET SEABREK²,MAU LANGGANAN NGESELINNYA SAMPE KE UBUN².. GILIRAN KOMPLAIN CS NGEBANTU KAGAK MALAH MAKIN NYUSAHIN.. UJUNG²NYA? CUMA BUANG2 WAKTU YANG GA PENTING DITAMBAH LAGI GA BISA LANGGANAN JUGA.. DASAAAAAARRR DONGOOOOOO",1,2025-09-18 10:56:17
ga ad film indonesia lg ya?,3,2025-09-18 06:21:51
menyebalkan bgt iklan disney hotstar di plafon lain langsung otomatis direct ke aplikasinya tanpa ngeklik apapun setelah video iklan habis.,2,2025-09-17 23:42:00
"gimana sih disney ini udah bayar tapi gak bisa ditonton darkor nya..cuma muter"" aja ..percuma saya bayar..diperbaki dong gimana sih",1,2025-09-17 23:33:51
gila sih ratting udh bnyk yg kasih 1 masih ga diperbaiki ngebug banget woy udh beli paket tp malah tiba tiba ilang gambar total,1,2025-09-17 22:40:52
ko gada film venom sih,3,2025-09-17 21:19:34
gak tau,5,2025-09-17 08:27:19
kenapa vidionya tidak bisa berjalan? loading nya parah 🥹 padahal data selular dan wifi aman aman saja sangat kecewa 😭😭😭😭,1,2025-09-16 23:27:35
BLACK SCREEN?!!!!,1,2025-09-16 21:32:37
ga ada yg bsa keputer semuanya...syg bgt udh berlangganan tpi ga bsa dipke sama sekali,1,2025-09-16 12:38:57
"UI nya apa bisa diganti,",1,2025-09-16 01:09:40
parah banget loading nya😭 padahal sinyal Wifi kenceng,1,2025-09-15 12:13:42
sinyal bagus tapi loading terus tolong di perbaiki,3,2025-09-15 10:26:16
"film nya ga bisa di putar loading terus padahal kouta internet lancar, di download pun sama tetap ga bisa keputar videonya hanya audio tapi tampilan hitam",1,2025-09-15 00:42:51
yg ngasih b5 itu para pencari cuan aplikasi pintarnya,5,2025-09-14 15:04:56
"update nya payah bet, membosankan.",1,2025-09-14 13:57:00
-banyak bug -tempat pembayaran premium hanya di gopay. Bisa dibilang hanya sedikit tempat pembayarannya -kurang memuaskan,1,2025-09-14 00:56:46
Need,5,2025-09-14 00:56:27
"aplikasi tidak bisa memutar video, layar hitam dan loading.. ada solusi untuk kendala sy ?",3,2025-09-13 23:32:50
ini emang ga ada pengaturan buat ukuran subtitle ya?,1,2025-09-13 21:10:01
"pantes ratingnya rendah, gw login gabisa Jing, katanya nomornya ada gangguan😹😹, udah coba pake nomor temen eh, masih sama🤭",1,2025-09-13 15:36:59
"overall pemakaian saya selema 3 hari sudah cukup bagus dan untungnya saya tidak menemukan masalah pada aplikasi seperti yang pengguna lainnya temukan, ini pertama kalinya saya menggunakan aplikasi Disney+ untuk layanan streaming film dan saya cukup puas karenan memang saya suka menonton film disney dan Pixar tapi saya juga berharap untuk koleksi film Star dan Anime di perbanyak lagi",5,2025-09-13 13:29:56
layar cuman hitam doang buat apa percuma langganan blank hitam cuma suara,1,2025-09-13 11:50:24
"ini gmna sih? saya udah paket 1 tahun premium, play film cuma loading doang ngga mulai mulai filmnya, udah hapus download lagi tetap sama",1,2025-09-13 11:34:29
Kacau gak bisa buka,1,2025-09-13 01:18:51
"jelek bgt apk nya eek, udh minta grafik nya full hd malah ditambah burik",1,2025-09-12 20:16:11
bamguss,5,2025-09-12 18:28:22
sangat menarik,4,2025-09-12 13:33:28
"aku berikan 3 bintang karena kurang puas dengan kemulusan berjalan videonya flm""nya bagus cuma knp ketika di putar malah videonya lengket"" dikit kurang Mulu videonya berjalan tolong min di perbaiki lg",3,2025-09-12 00:25:06
"tolong para pihak Disney ini gimana cara nonton nya pas buka ternyata gak bisa nonton, jadi tolong para pihak Disney benarkan lagi🙏",2,2025-09-11 21:40:39
DISNEY+ hotstar MANTAAAAPPPP!!!!!!!!!,5,2025-09-11 18:21:08
"Ok promo lainnya oke tapi saya sangat sangat Mohon banyakkkkk fitur yang perlu kalian tambahkan saya kasih beberapa saja fitur like dislike show gimana kalian bisa tahu kalau orang suka program kalian atau tidak bukankah itu data penting lalu bab tentang starring dan director at veryyyy least kalian butuh itu yang terakhir banyak Disney XD program ga ada kaya pickle and peanuts, ayolah Disney",5,2025-09-11 14:45:21
aplikasiinya gak bagus.... mending aplikadi lain..... sdh berlangganan tapi gk bisa nonton gak bsa login...,1,2025-09-11 05:31:34
"Padahal habis update tapi kenapa dia selalu nge bug kalo di pause kelamaan... padahal ga sharing akun, udah hapus cache juga, tapi selalu kalo dipause kelamaan, gambarnya ga keluar (layarnya item doang) malahan cuma suaranya aja yg muter, ditunggu.. malah tetep ga keluar gambarnta",2,2025-09-10 22:49:54
Kode otp tidak muncul sudah seharian,1,2025-09-10 18:46:29
aplikasi tidak jelas sundala,1,2025-09-10 01:28:34
"udah langganan yg bisa full hd 1080 tp kualitasnya masih jelek pdhl jaringannya bagus, beda bgt sm aplikasi sebelah harga sama tp kualitasnya oke",1,2025-09-09 19:04:53
"dongoo, gabisa masuk gua",1,2025-09-09 19:04:38
"mantap saya kasih bintang 5 karna merespon dan beri solusi terhadap masalah ini. akhirnya saya bisa ganti email lama dengan yang baru, sukses terus Disney. 😻",5,2025-09-09 18:01:42
ipads,5,2025-09-09 10:03:10
"scam, tidak bisa redeem code",1,2025-09-09 07:58:31
saya belum paham tentang apk ini,5,2025-09-08 18:29:24
"makin mahal dan isi film kebanyakan sampah, disney juga kbnyakan film woke marvelnya jarang ada yg oke ga kyk dulu",1,2025-09-08 07:15:41
"diplay awalnya normal tapi ditengah film tiba"" blank full hitam doang ditambah audionya doang yg keluar, dicoba difilm lain juga ternyata sama aja. Sampah banget",1,2025-09-08 00:17:36
GK cocok,1,2025-09-07 15:52:14
"Too much buffering. Loadingnya lama bgt padahal bukan masalah koneksi. Baru play bbrp detik malah Loading lama, yang akhirnya ga jadi nonton. 10 menit lebih. It doesn't make sense.",2,2025-09-07 13:40:17
"Disney Hotstar gak beres nih, kartu kredit saya berlangganan basic tiba tiba jadi premium dan terpotong 700ribu, sdh gitu gak bisa nonton di aplikasinya, saya sdh email ke pihak Disney sampai sekarang tidak ada realisasinya. bagaimana ini, untuk yg lain semoga nasibnya tidak sama seperti saya.",1,2025-09-07 10:32:46
"iklannya sangat menggangu,",1,2025-09-07 03:20:12
"tidak bisa dibuka dihp,cuma ada suara nya saja knpa makin kesini makin jelek sih",1,2025-09-06 23:56:08
Kenapa ni aplikasi kalo mau nonton malah gak muncul filmnya dan hanya layar hitam,1,2025-09-06 19:25:14
