ulasan_bersih,sentiment_score,sentiment_category,predicted_rating,panjang_ulasan
rada kesel ken nonton udah coba bayar yg bulan gak,-12,Negatif,1,10
hebat,0,Netral,3,1
ga mutar video,0,Netral,3,3
apk,0,Netral,3,1
why keris siamang tunggal upin ipin movie cant play,-6,Negatif,1,9
kurang film,-3,Negatif,2,2
gk yg gratis gak papa nonton iklan yg nonton,4,Positif,4,9
cok ngapain gw beli disney mending beli netfilx film nya lengkap gak kayak disney,-15,Negatif,1,14
sebenrnua sih apk bagus nak nonton vidio ku suka bayar,-8,Negatif,1,10
video nya putusputus udah pake wifi,0,Netral,3,6
yg gak puter film nya,0,Netral,3,5
login tv sungguh susah,-4,Negatif,2,4
apknya bagus banget recomend,-3,Negatif,2,4
suka disney,-1,Negatif,2,2
ngga download memo ngga penuh jaring bagus stabil udah selesai download baca kirim pesan masalah gitu kasih bintang,-13,Negatif,1,18
gk nonton stand by me doraemon kecewa,0,Netral,3,7
film marvel nya lambat update,1,Positif,4,5
kualitas vide setel buruk kualitas,3,Positif,4,5
langgan via telkomsel langgan blm buka ,1,Positif,4,6
beli paket disney hostar my telkomsel pas login akun nya langgan gmana nih,6,Positif,5,13
moga tahun disney hoststar bagus naik tarif k saran moga sukses depan ,-1,Negatif,2,12
bagus,-4,Negatif,2,1
aplikasi kocak ga langgan udah bayar langgan ga aktif udah komplain email nya gada respon udah kali ngalamin gausah langgan bug,-8,Negatif,1,21
bayar langgan tp diaktivasi email cs tp respon bayar kali ganti apk kecewa,-5,Negatif,1,13
maaf hp ato gimana nonton yg muncul black screen ama subtitle gak visual mohon fiks,-8,Negatif,1,15
yoks mantab yah gitu deh dah,-3,Negatif,2,6
beli paket disney mytelkomsel blm aktif pulsa sdh debetkomplen ga tanggapancapeeeee deeeeh,-5,Negatif,1,12
bagus,-4,Negatif,2,1
disney tv gak connect pake wifi pake data d buka hp please putar tv pake wifi pake data boros ribet banget mudah enak ribet,-29,Negatif,1,24
sih ga buka tulisanya something went wrong please try again wifi lancar,-8,Negatif,1,12
windi,0,Netral,3,1
overral udah bagus lengkap tv series nya,-7,Negatif,1,7
kecewa sih bug yg resah hp ane pas nonton film delay udh close app hp ane ttp delay alhasil restart hpnya,-10,Negatif,1,21
jelek banget bayar download bagus film,-11,Negatif,1,6
sih download aplikasi udah kali coba plis kurang mbnya susah mendownload nya plis kecil mb nya ya kecil mb nya ya,-9,Negatif,1,21
bagus,-4,Negatif,2,1
update play film tolong baik ya thanks,4,Positif,4,7
tolong la kak topup nya biar penguna shopee pay bayar indomaret,-8,Negatif,1,11
